Parameter,Bester Wert,Durchschn. F1,Min F1,Max F1,Std.abw.,n
model_dim,128.0,94.01%,68.27%,96.13%,5.21%,30.0
num_encoder_layers,2.0,94.38%,87.16%,96.04%,2.28%,18.0
num_heads,2.0,94.30%,68.27%,96.13%,4.32%,58.0
batch_size,64.0,95.09%,80.60%,96.08%,2.97%,26.0
learning_rate,6.26023061297e-05,96.13%,96.13%,96.13%,nan%,1.0
dropout_rate,0.1,94.34%,77.03%,96.05%,3.67%,30.0
activation,relu,93.54%,43.13%,96.06%,7.71%,52.0
norm_first,True,93.37%,68.27%,96.13%,5.35%,43.0
pooling_type,mean,93.86%,56.62%,96.13%,5.86%,58.0
pos_encoding_scaling,0.0,93.76%,77.03%,96.08%,4.38%,46.0
optimizer,adamw,93.66%,68.27%,96.08%,5.33%,49.0
criterion,cross_entropy_loss,93.21%,43.13%,96.13%,7.52%,100.0
lr_scheduler,CosineAnnealingLR,94.46%,80.60%,96.13%,3.30%,35.0
weight_decay,0.0001,95.40%,93.51%,96.08%,0.61%,20.0
label_smoothing,0.0561315199003785,96.13%,96.13%,96.13%,nan%,1.0
l1_lambda,1e-05,95.49%,94.52%,95.99%,0.40%,20.0
