param1,param2,best_value1,best_value2,best_score,sample_size,variance,interaction_strength
num_encoder_layers,label_smoothing,2.0,0.2,0.949845736381568,1.0,0.08202739029616099,0.07791336693931532
num_encoder_layers,weight_decay,2.0,0.0,0.9489519508571009,2.0,0.0795709154103264,0.0755089754101146
weight_decay,label_smoothing,0.0,0.2,0.9506046054029925,3.0,0.06835810516204029,0.06498152958365758
focal_gamma,l1_lambda,2.0,1e-05,0.945747902605456,1.0,0.06750093150600464,0.06383886439571844
dropout_rate,weight_decay,0.2,0.0,0.9405278437828205,5.0,0.06720407308967805,0.06320730195645796
model_dim,learning_rate,512.0,0.0001,0.9496488020019751,2.0,0.06565919408328748,0.062353175001609126
learning_rate,optimizer,0.0001,adamw,0.9493248202276746,6.0,0.0640749185965978,0.060827910577818084
optimizer,weight_decay,adam,0.0,0.9450292408008087,2.0,0.0639999800822411,0.06048185258838719
norm_first,label_smoothing,True,0.01,0.9216905298130708,4.0,0.06319484737287705,0.05824609235656319
focal_gamma,label_smoothing,1.0,0.05,0.9508112608678128,1.0,0.06035549073984292,0.057386680250645646
learning_rate,weight_decay,1e-05,0.0,0.9458988528367135,5.0,0.059147278116209616,0.055947342518536725
num_encoder_layers,focal_gamma,2.0,3.0,0.948058165332634,1.0,0.054194544515471135,0.05137958044437533
num_heads,learning_rate,2.0,0.0001,0.953121965897943,2.0,0.05344535792907459,0.050939944617478784
num_heads,focal_gamma,16.0,3.0,0.950236672302301,1.0,0.05248790876814294,0.049875935763946916
model_dim,weight_decay,512.0,0.0,0.9470340085124596,6.0,0.05263936715476743,0.0498512708821385
learning_rate,label_smoothing,0.0001,0.1,0.9504246448861542,2.0,0.04866986052006674,0.04625703490144309
num_heads,batch_size,4.0,128.0,0.9438649330758772,1.0,0.04849665025536048,0.04577428754768004
weight_decay,l1_lambda,0.0,1e-05,0.9408010684517141,2.0,0.04769529685335012,0.044871786239753464
learning_rate,focal_gamma,0.0001,1.0,0.9508112608678128,1.0,0.0453395509021061,0.04310935556041188
num_encoder_layers,optimizer,1,adamw,0.9446244254202707,6.0,0.044589089066355246,0.0421199426393191
batch_size,weight_decay,256.0,0.0,0.9369996383033977,3.0,0.04374181723484823,0.04098606692778612
norm_first,weight_decay,True,0.0,0.9441580311806876,6.0,0.04331387146977318,0.04089513960971441
