"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","dropout_rate","embedding","focal_gamma","l1_lambda","label_smoothing","learning_rate","loss_reduction","loss_type","lr_scheduler","method","metric.goal","metric.name","model_dim","norm_first","num_encoder_layers","num_heads","optimizer","parameters.activations","parameters.batch_sizes","parameters.dropout_rates","parameters.embeddings","parameters.focal_gammas","parameters.l1_lambdas","parameters.label_smoothings","parameters.learning_rates","parameters.loss_reductions","parameters.loss_types","parameters.lr_schedulers","parameters.model_dims","parameters.norm_firsts","parameters.num_encoder_layerss","parameters.num_headss","parameters.optimizers","parameters.pooling_types","parameters.pos_encoding_scalings","parameters.weight_decays","pooling_type","pos_encoding_scaling","weight_decay","best_model_path","train/accuracy","train/f1_macro","train/f1_weighted","train/loss","train/precision_macro","train/precision_weighted","train/recall_macro","train/recall_weighted","val/accuracy","val/f1_score_macro","val/f1_score_weighted","val/loss","val/precision_macro","val/precision_weighted","val/recall_macro","val/recall_weighted"
"driven-sweep-100","finished","-","","","2025-02-08T08:19:49.000Z","3123","ye0zge1d","gelu","128","0.2","true","3","0.0001","0.05","0.001","mean","focal","ReduceLROnPlateau","","","","512","true","1","2","adamw","","","","","","","","","","","","","","","","","","","","cls","1","0.1","models/driven-sweep-100_3jyi4ecu/model_epoch_17_loss_0.9485.pt","0.965233428648852","0.5925919918726774","0.9648300491048284","0.03855125099436455","0.6241921121118436","0.9648040312800658","0.5840327813213049","0.965233428648852","0.9460044086442388","0.5924387485333266","0.9470820718251508","0.09770803845512044","0.6172356330297332","0.9636037407733652","0.6092692676019122","0.9460044086442388"
"helpful-sweep-99","finished","-","","","2025-02-08T07:44:55.000Z","2090","ye0zge1d","relu","128","0.3","true","3","0.0001","0.2","0.00001","mean","focal","CosineAnnealingLR","","","","128","true","5","8","adam","","","","","","","","","","","","","","","","","","","","cls","1","0.1","models/helpful-sweep-99_fgkqj23h/model_epoch_8_loss_0.5698.pt","0.628083430064429","0.06094216063724674","0.50478395953101","0.7636787365990889","0.05365596795461263","0.4363256580277079","0.07925189883327857","0.628083430064429","0.5753898765991636","0.04335996997766947","0.4721757174815692","0.7423946987641485","0.0353219029544001","0.4158997831605142","0.07310085594003313","0.5753898765991636"
"electric-sweep-98","finished","-","","","2025-02-08T07:16:12.000Z","1720","ye0zge1d","relu","64","0.3","true","1","0","0","0.001","mean","focal","CosineAnnealingLR","","","","512","false","1","8","adamw","","","","","","","","","","","","","","","","","","","","mean","1","0.1","models/electric-sweep-98_pwz4xnmb/model_epoch_3_loss_0.9496.pt","0.9747380171406154","0.7259603800582731","0.975771199670969","0.019542142102560455","0.7053637612153737","0.9774472287384772","0.7629504985908905","0.9747380171406154","0.9356420345687152","0.6793740050021159","0.941624755204982","0.08828451935656578","0.6818697164750541","0.9668449045434206","0.7378920889559768","0.9356420345687152"
"atomic-sweep-97","finished","-","","","2025-02-08T05:20:14.000Z","6951","ye0zge1d","gelu","256","0.3","true","3","0.0001","0.01","0.000001","mean","focal","CosineAnnealingLR","","","","512","false","1","2","adam","","","","","","","","","","","","","","","","","","","","mean","1","0.1","models/atomic-sweep-97_bswolq6l/model_epoch_54_loss_0.7795.pt","0.8454432576067041","0.2900067162608789","0.8333572467858443","0.16635576129638385","0.32167405648163494","0.8406886803114688","0.305521546268571","0.8454432576067041","0.7976143878370862","0.24293366319765977","0.7728776659840072","0.1848086624553329","0.25141664806058406","0.7819789142127347","0.27002499180569367","0.7976143878370862"
"comfy-sweep-96","finished","-","","","2025-02-08T04:55:48.000Z","1465","ye0zge1d","relu","128","0.1","true","3","0.00001","0.1","0.0001","mean","focal","ReduceLROnPlateau","","","","128","false","1","8","adamw","","","","","","","","","","","","","","","","","","","","cls","1","0.1","models/comfy-sweep-96_pobqic8z/model_epoch_11_loss_0.9582.pt","0.9858401854001432","0.8713884104515451","0.9854933638169456","0.01343030788217224","0.8759392448030049","0.9860653898401104","0.872535147981279","0.9858401854001432","0.9554397313611174","0.8425505063615492","0.9565462584848724","0.0852580087293111","0.8517303470476356","0.97170000570128","0.8554320283433896","0.9554397313611174"
"breezy-sweep-95","finished","-","","","2025-02-08T03:50:44.000Z","3871","ye0zge1d","relu","128","0.1","true","2","0","0.1","0.001","mean","focal","ReduceLROnPlateau","","","","512","false","1","8","adamw","","","","","","","","","","","","","","","","","","","","cls","1","0.1","models/breezy-sweep-95_24onz8lu/model_epoch_23_loss_0.9520.pt","0.985674360664755","0.8491397740103421","0.985002549277615","0.017954092233362955","0.8520408189774793","0.9861476624836965","0.8560414970298627","0.985674360664755","0.9472610782637358","0.8126262266943955","0.9484084356372152","0.11333575627068056","0.8206998754161039","0.9669556698338868","0.8482031484423844","0.9472610782637358"
"noble-sweep-94","finished","-","","","2025-02-08T02:21:31.000Z","5351","ye0zge1d","gelu","128","0.3","true","0","0.00001","0.01","0.0001","mean","focal","ReduceLROnPlateau","","","","128","true","6","8","adamw","","","","","","","","","","","","","","","","","","","","cls","1","0.01","models/noble-sweep-94_wvycgzwp/model_epoch_29_loss_0.9575.pt","0.9810798021427792","0.8077654476775933","0.9815500754512988","0.09093045140954031","0.8135878902795181","0.982577871862754","0.8275975117065243","0.9810798021427792","0.9448919470138646","0.8012080243930282","0.9532164750046218","0.16666708970932584","0.8133805497735037","0.978441817921379","0.8328072280693992","0.9448919470138646"
"fresh-sweep-93","finished","-","","","2025-02-07T23:52:25.000Z","8941","ye0zge1d","relu","256","0.3","true","0","0.00001","0.2","0.00001","mean","focal","CosineAnnealingLR","","","","512","true","6","2","adamw","","","","","","","","","","","","","","","","","","","","cls","1","0.01","models/fresh-sweep-93_t1yx9vp7/model_epoch_12_loss_0.9397.pt","0.9688694393101692","0.6604010202420645","0.9709608031824324","0.9679248981470894","0.6281039647151077","0.9741760603734656","0.727324572325924","0.9688694393101692","0.9314394017428566","0.6352971568036866","0.9395266610431556","1.052862051599904","0.6447991265591462","0.9639212969988968","0.6950115891380614","0.9314394017428566"
"rosy-sweep-92","finished","-","","","2025-02-07T22:19:54.000Z","5545","ye0zge1d","gelu","64","0.2","true","2","0.0001","0","0.001","mean","focal","CosineAnnealingLR","","","","128","false","6","4","adam","","","","","","","","","","","","","","","","","","","","mean","1","0","models/rosy-sweep-92_berb3osy/model_epoch_21_loss_0.9327.pt","0.9489421595233954","0.5519534626484306","0.9505488568505112","0.035053994161328476","0.5428302296840214","0.9533713903253604","0.5733715558032737","0.9489421595233954","0.9180898621783646","0.5187507612969867","0.9243407559700036","0.07259783673209687","0.568280595101433","0.9531047047839748","0.5408753671947111","0.9180898621783646"
"frosty-sweep-91","finished","-","","","2025-02-07T21:36:57.000Z","2570","ye0zge1d","relu","256","0.2","true","1","0.0001","0.01","0.00001","mean","focal","CosineAnnealingLR","","","","512","false","1","2","adam","","","","","","","","","","","","","","","","","","","","cls","1","0","models/frosty-sweep-91_mbef6dqm/model_epoch_15_loss_0.9382.pt","0.9588511985892764","0.5815737698508544","0.9596865085626812","0.05079328000649624","0.5852729179725973","0.9615677453665812","0.5925262509423836","0.9588511985892764","0.9327166725036568","0.6072051546884","0.9345112222712928","0.12181708004913833","0.6377390581288823","0.9559291101948856","0.631224146624595","0.9327166725036568"
"eager-sweep-90","finished","-","","","2025-02-07T21:01:26.000Z","2129","ye0zge1d","relu","256","0.4","true","0","0.0001","0.01","0.000001","mean","focal","ReduceLROnPlateau","","","","128","true","2","8","adam","","","","","","","","","","","","","","","","","","","","mean","1","0","models/eager-sweep-90_u6i30zlw/model_epoch_23_loss_0.7305.pt","0.6612564661535537","0.19871394157039868","0.6667800957232654","0.3127023885894266","0.18898850488694324","0.6962564509452429","0.2238157239053312","0.6612564661535537","0.6844317175171505","0.2136310270648423","0.6522238109397621","0.3300276337485564","0.22873239901496473","0.6791192597027185","0.2607275928261196","0.6844317175171505"
"tough-sweep-89","finished","-","","","2025-02-07T16:49:13.000Z","15130","ye0zge1d","relu","64","0.3","true","1","0.0001","0.01","0.000001","mean","focal","ReduceLROnPlateau","","","","128","true","6","8","adam","","","","","","","","","","","","","","","","","","","","mean","1","0.01","models/tough-sweep-89_lksef3xe/model_epoch_70_loss_0.7983.pt","0.8703331459379007","0.28679849721658907","0.8504006103522521","0.1916184820655124","0.31408529744343633","0.8678457688262953","0.3098981532150545","0.8703331459379007","0.8123854061515008","0.2655536420740388","0.7968504344632229","0.2062054513824787","0.26661094413733033","0.8071471965011207","0.2955713314070296","0.8123854061515008"
"woven-sweep-88","finished","-","","","2025-02-07T07:48:29.000Z","32441","ye0zge1d","gelu","256","0.4","true","0","0","0.01","0.000001","mean","focal","ReduceLROnPlateau","","","","512","true","5","8","adamw","","","","","","","","","","","","","","","","","","","","mean","1","0.1","models/woven-sweep-88_p58q87ki/model_epoch_75_loss_0.9284.pt","0.9599432151393938","0.6534088580868782","0.9617278746422226","0.1143618276724534","0.6530964033020562","0.9653438712112676","0.6763711554741366","0.9599432151393938","0.9185430872870356","0.6182484304429505","0.9248400624549304","0.20478159385292152","0.6258610421354829","0.943531148761534","0.6582673159347469","0.9185430872870356"
"expert-sweep-87","finished","-","","","2025-02-07T06:40:10.000Z","4095","ye0zge1d","relu","128","0.4","true","2","0.00001","0.1","0.0001","mean","focal","ReduceLROnPlateau","","","","256","true","2","16","adamw","","","","","","","","","","","","","","","","","","","","mean","1","0.01","models/expert-sweep-87_flm2zl9b/model_epoch_27_loss_0.9581.pt","0.9859655650781196","0.8519776267871135","0.9855652816738824","0.01800394281700367","0.8618170535845544","0.9863819132682152","0.8500383528638108","0.9859655650781196","0.955048309676356","0.8108650871293948","0.956587379992111","0.11427456384867822","0.8138375510104937","0.9737691520925577","0.8399354786573273","0.955048309676356"
"worldly-sweep-86","finished","-","","","2025-02-07T04:49:00.000Z","6664","ye0zge1d","relu","64","0.1","true","0","0","0.01","0.00001","mean","focal","ReduceLROnPlateau","","","","128","true","4","4","adamw","","","","","","","","","","","","","","","","","","","","cls","1","0","models/worldly-sweep-86_l5bppbvd/model_epoch_31_loss_0.9542.pt","0.9846834567581668","0.8811039971562875","0.9850665407383162","0.08452589259777936","0.8781376407236768","0.985884474913694","0.8943484831698056","0.9846834567581668","0.949341793535362","0.8233196382990007","0.9520213060671948","0.14172767966553784","0.8144492510771961","0.971460350930509","0.878532564917562","0.949341793535362"
